Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Cost_per_procedure,Daily_Operating_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Net-Profit (daily),,,,
8/27/2023,MAMMO_0028,Mammography Unit,Women's Health,8,3.4,0.42,12,5000,1000,"KES 60,000",Sunday,August,TRUE,"KES 59,000",,,,
3/3/2023,US_0029,Ultrasound,Radiology,10,8.4,0.84,20,3000,1000,"KES 60,000",Friday,March,FALSE,"KES 59,000",,,,
12/6/2023,CT_0030,CT Scanner,Radiology,20,10.7,0.53,30,10000,3000,"KES 300,000",Wednesday,December,FALSE,"KES 297,000",,,,
1/11/2023,MRI_0031,MRI Scanner,Radiology,14,3.2,0.23,3,30000,5000,"KES 90,000",Wednesday,January,FALSE,"KES 85,000",,,,
12/11/2023,MAMMO_0032,Mammography Unit,Women's Health,20,18.5,0.93,29,5000,1000,"KES 145,000",Monday,December,FALSE,"KES 144,000",,,,
10/27/2023,CT_0033,CT Scanner,Radiology,20,4.2,0.21,7,10000,3000,"KES 70,000",Friday,October,FALSE,"KES 67,000",,,,
11/25/2023,MAMMO_0034,Mammography Unit,Women's Health,9,4.3,0.48,30,5000,1000,"KES 150,000",Saturday,November,TRUE,"KES 149,000",,,,
8/2/2023,CT_0035,CT Scanner,Radiology,14,13.3,0.95,6,10000,3000,"KES 60,000",Wednesday,August,FALSE,"KES 57,000",,,,
5/3/2023,MRI_0036,MRI Scanner,Radiology,14,2.6,0.19,3,30000,5000,"KES 90,000",Wednesday,May,FALSE,"KES 85,000",,,,
11/28/2023,CT_0037,CT Scanner,Radiology,14,10.5,0.75,13,10000,3000,"KES 130,000",Tuesday,November,FALSE,"KES 127,000",,,,
9/13/2023,XRAY_0038,X-Ray Machine,Radiology,10,8,0.8,23,2000,1500,"KES 46,000",Wednesday,September,FALSE,"KES 44,500",,,,
10/23/2023,XRAY_0039,X-Ray Machine,Radiology,13,11.2,0.86,13,2000,1500,"KES 26,000",Monday,October,FALSE,"KES 24,500",,,,
8/11/2023,MRI_0040,MRI Scanner,Radiology,13,2.9,0.22,4,30000,5000,"KES 120,000",Friday,August,FALSE,"KES 115,000",,,,
9/23/2023,US_0041,Ultrasound,Radiology,9,6.9,0.77,40,3000,1000,"KES 120,000",Saturday,September,TRUE,"KES 119,000",,,,
6/20/2023,MAMMO_0042,Mammography Unit,Women's Health,14,13.3,0.95,23,5000,1000,"KES 115,000",Tuesday,June,FALSE,"KES 114,000",,,,
10/13/2023,MAMMO_0043,Mammography Unit,Women's Health,12,3.6,0.3,30,5000,1000,"KES 150,000",Friday,October,FALSE,"KES 149,000",,,,
6/29/2023,XRAY_0044,X-Ray Machine,Radiology,13,6.8,0.52,18,2000,1500,"KES 36,000",Thursday,June,FALSE,"KES 34,500",,,,
2/7/2023,MAMMO_0045,Mammography Unit,Women's Health,8,7.6,0.95,14,5000,1000,"KES 70,000",Tuesday,February,FALSE,"KES 69,000",,,,
1/22/2023,CT_0046,CT Scanner,Radiology,19,4.8,0.25,7,10000,3000,"KES 70,000",Sunday,January,TRUE,"KES 67,000",,,,
6/4/2023,CT_0047,CT Scanner,Radiology,15,11.8,0.79,15,10000,3000,"KES 150,000",Sunday,June,TRUE,"KES 147,000",,,,
6/25/2023,XRAY_0048,X-Ray Machine,Radiology,18,4.2,0.23,23,2000,1500,"KES 46,000",Sunday,June,TRUE,"KES 44,500",,,,
10/3/2023,MRI_0049,MRI Scanner,Radiology,10,2.9,0.29,4,30000,5000,"KES 120,000",Tuesday,October,FALSE,"KES 115,000",,,,
12/15/2023,XRAY_0050,X-Ray Machine,Radiology,18,4.2,0.23,7,2000,1500,"KES 14,000",Friday,December,FALSE,"KES 12,500",,,,
1/7/2023,MAMMO_0051,Mammography Unit,Women's Health,16,13.7,0.86,25,5000,1000,"KES 125,000",Saturday,January,TRUE,"KES 124,000",,,,
6/28/2023,US_0052,Ultrasound,Radiology,10,8.3,0.83,23,3000,1000,"KES 69,000",Wednesday,June,FALSE,"KES 68,000",,,,
8/1/2023,MRI_0053,MRI Scanner,Radiology,9,2.7,0.3,3,30000,5000,"KES 90,000",Tuesday,August,FALSE,"KES 85,000",,,,
1/19/2023,MAMMO_0054,Mammography Unit,Women's Health,11,9.9,0.9,12,5000,1000,"KES 60,000",Thursday,January,FALSE,"KES 59,000",,,,
8/27/2023,CT_0055,CT Scanner,Radiology,9,8.9,0.99,7,10000,3000,"KES 70,000",Sunday,August,TRUE,"KES 67,000",,,,
6/28/2023,MRI_0056,MRI Scanner,Radiology,8,0.6,0.07,5,30000,5000,"KES 150,000",Wednesday,June,FALSE,"KES 145,000",,,,
5/3/2023,MRI_0057,MRI Scanner,Radiology,13,3.6,0.28,5,30000,5000,"KES 150,000",Wednesday,May,FALSE,"KES 145,000",,,,
8/17/2023,US_0058,Ultrasound,Radiology,10,8.9,0.89,39,3000,1000,"KES 117,000",Thursday,August,FALSE,"KES 116,000",,,,
8/17/2023,MRI_0059,MRI Scanner,Radiology,10,0.9,0.09,5,30000,5000,"KES 150,000",Thursday,August,FALSE,"KES 145,000",,,,
10/19/2023,US_0060,Ultrasound,Radiology,9,6.3,0.7,19,3000,1000,"KES 57,000",Thursday,October,FALSE,"KES 56,000",,,,
5/18/2023,XRAY_0061,X-Ray Machine,Radiology,11,6.9,0.63,12,2000,1500,"KES 24,000",Thursday,May,FALSE,"KES 22,500",,,,
9/25/2023,XRAY_0062,X-Ray Machine,Radiology,17,10,0.59,6,2000,1500,"KES 12,000",Monday,September,FALSE,"KES 10,500",,,,
2/12/2023,US_0063,Ultrasound,Radiology,11,10.6,0.96,19,3000,1000,"KES 57,000",Sunday,February,TRUE,"KES 56,000",,,,
11/23/2023,XRAY_0064,X-Ray Machine,Radiology,11,3.8,0.35,8,2000,1500,"KES 16,000",Thursday,November,FALSE,"KES 14,500",,,,
4/24/2023,CT_0065,CT Scanner,Radiology,8,3.3,0.41,21,10000,3000,"KES 210,000",Monday,April,FALSE,"KES 207,000",,,,
12/26/2023,CT_0066,CT Scanner,Radiology,8,3,0.38,16,10000,3000,"KES 160,000",Tuesday,December,FALSE,"KES 157,000",,,,
6/27/2023,CT_0067,CT Scanner,Radiology,10,6.9,0.69,15,10000,3000,"KES 150,000",Tuesday,June,FALSE,"KES 147,000",,,,
2/6/2023,XRAY_0068,X-Ray Machine,Radiology,16,7.1,0.44,28,2000,1500,"KES 56,000",Monday,February,FALSE,"KES 54,500",,,,
7/10/2023,MAMMO_0069,Mammography Unit,Women's Health,18,14.7,0.82,20,5000,1000,"KES 100,000",Monday,July,FALSE,"KES 99,000",,,,
12/16/2023,US_0070,Ultrasound,Radiology,10,7.4,0.74,26,3000,1000,"KES 78,000",Saturday,December,TRUE,"KES 77,000",,,,
11/15/2023,XRAY_0071,X-Ray Machine,Radiology,9,7.8,0.87,26,2000,1500,"KES 52,000",Wednesday,November,FALSE,"KES 50,500",,,,
6/4/2023,MAMMO_0072,Mammography Unit,Women's Health,15,6.4,0.43,10,5000,1000,"KES 50,000",Sunday,June,TRUE,"KES 49,000",,,,
11/1/2023,CT_0073,CT Scanner,Radiology,19,10.4,0.55,9,10000,3000,"KES 90,000",Wednesday,November,FALSE,"KES 87,000",,,,
6/5/2023,CT_0074,CT Scanner,Radiology,16,9.4,0.59,24,10000,3000,"KES 240,000",Monday,June,FALSE,"KES 237,000",,,,
5/3/2023,CT_0075,CT Scanner,Radiology,13,9.8,0.75,19,10000,3000,"KES 190,000",Wednesday,May,FALSE,"KES 187,000",,,,
2/5/2023,MAMMO_0076,Mammography Unit,Women's Health,15,7.3,0.49,13,5000,1000,"KES 65,000",Sunday,February,TRUE,"KES 64,000",,,,
11/20/2023,MAMMO_0077,Mammography Unit,Women's Health,15,10.9,0.73,8,5000,1000,"KES 40,000",Monday,November,FALSE,"KES 39,000",,,,
8/11/2023,MAMMO_0078,Mammography Unit,Women's Health,9,5,0.56,8,5000,1000,"KES 40,000",Friday,August,FALSE,"KES 39,000",,,,
12/28/2023,US_0079,Ultrasound,Radiology,10,9.6,0.96,35,3000,1000,"KES 105,000",Thursday,December,FALSE,"KES 104,000",,,,
11/19/2023,US_0080,Ultrasound,Radiology,12,11.7,0.97,29,3000,1000,"KES 87,000",Sunday,November,TRUE,"KES 86,000",,,,
9/24/2023,US_0081,Ultrasound,Radiology,10,7.8,0.78,36,3000,1000,"KES 108,000",Sunday,September,TRUE,"KES 107,000",,,,
6/25/2023,CT_0082,CT Scanner,Radiology,10,6.9,0.69,19,10000,3000,"KES 190,000",Sunday,June,TRUE,"KES 187,000",,,,
10/24/2023,MRI_0083,MRI Scanner,Radiology,11,3.6,0.33,3,30000,5000,"KES 90,000",Tuesday,October,FALSE,"KES 85,000",,,,
10/26/2023,MAMMO_0084,Mammography Unit,Women's Health,18,16.4,0.91,6,5000,1000,"KES 30,000",Thursday,October,FALSE,"KES 29,000",,,,
3/23/2023,CT_0085,CT Scanner,Radiology,14,6.3,0.45,16,10000,3000,"KES 160,000",Thursday,March,FALSE,"KES 157,000",,,,
4/18/2023,MAMMO_0086,Mammography Unit,Women's Health,10,8.1,0.81,19,5000,1000,"KES 95,000",Tuesday,April,FALSE,"KES 94,000",,,,
1/21/2023,CT_0087,CT Scanner,Radiology,8,4.9,0.61,24,10000,3000,"KES 240,000",Saturday,January,TRUE,"KES 237,000",,,,
6/24/2023,MAMMO_0088,Mammography Unit,Women's Health,17,11.6,0.68,22,5000,1000,"KES 110,000",Saturday,June,TRUE,"KES 109,000",,,,
7/21/2023,US_0089,Ultrasound,Radiology,11,10.6,0.96,40,3000,1000,"KES 120,000",Friday,July,FALSE,"KES 119,000",,,,
11/22/2023,MAMMO_0090,Mammography Unit,Women's Health,11,6.4,0.58,24,5000,1000,"KES 120,000",Wednesday,November,FALSE,"KES 119,000",,,,
10/20/2023,MRI_0091,MRI Scanner,Radiology,8,3,0.38,2,30000,5000,"KES 60,000",Friday,October,FALSE,"KES 55,000",,,,
3/6/2023,US_0092,Ultrasound,Radiology,10,8.3,0.83,23,3000,1000,"KES 69,000",Monday,March,FALSE,"KES 68,000",,,,
2/22/2023,MAMMO_0093,Mammography Unit,Women's Health,8,7.5,0.94,18,5000,1000,"KES 90,000",Wednesday,February,FALSE,"KES 89,000",,,,
6/23/2023,MAMMO_0094,Mammography Unit,Women's Health,8,3,0.38,24,5000,1000,"KES 120,000",Friday,June,FALSE,"KES 119,000",,,,
8/12/2023,XRAY_0095,X-Ray Machine,Radiology,11,7.4,0.67,12,2000,1500,"KES 24,000",Saturday,August,TRUE,"KES 22,500",,,,
12/4/2023,CT_0096,CT Scanner,Radiology,8,3.1,0.39,8,10000,3000,"KES 80,000",Monday,December,FALSE,"KES 77,000",,,,
8/12/2023,MAMMO_0097,Mammography Unit,Women's Health,17,6.7,0.39,29,5000,1000,"KES 145,000",Saturday,August,TRUE,"KES 144,000",,,,
8/19/2023,XRAY_0098,X-Ray Machine,Radiology,20,3.6,0.18,24,2000,1500,"KES 48,000",Saturday,August,TRUE,"KES 46,500",,,,
4/7/2023,XRAY_0099,X-Ray Machine,Radiology,12,11.2,0.93,21,2000,1500,"KES 42,000",Friday,April,FALSE,"KES 40,500",,,,
12/1/2023,US_0100,Ultrasound,Radiology,8,7.5,0.94,36,3000,1000,"KES 108,000",Friday,December,FALSE,"KES 107,000",,,,
7/11/2023,MAMMO_0101,Mammography Unit,Women's Health,20,16.8,0.84,25,5000,1000,"KES 125,000",Tuesday,July,FALSE,"KES 124,000",,,,
8/9/2023,US_0102,Ultrasound,Radiology,9,6.5,0.72,36,3000,1000,"KES 108,000",Wednesday,August,FALSE,"KES 107,000",,,,
5/4/2023,XRAY_0103,X-Ray Machine,Radiology,14,7.8,0.56,22,2000,1500,"KES 44,000",Thursday,May,FALSE,"KES 42,500",,,,
3/27/2023,MRI_0104,MRI Scanner,Radiology,15,0.6,0.04,4,30000,5000,"KES 120,000",Monday,March,FALSE,"KES 115,000",,,,
11/7/2023,MAMMO_0105,Mammography Unit,Women's Health,10,6.9,0.69,17,5000,1000,"KES 85,000",Tuesday,November,FALSE,"KES 84,000",,,,
3/17/2023,US_0106,Ultrasound,Radiology,9,6.4,0.71,21,3000,1000,"KES 63,000",Friday,March,FALSE,"KES 62,000",,,,
7/14/2023,US_0107,Ultrasound,Radiology,9,7.2,0.8,23,3000,1000,"KES 69,000",Friday,July,FALSE,"KES 68,000",,,,
8/14/2023,MRI_0108,MRI Scanner,Radiology,15,1.9,0.13,1,30000,5000,"KES 30,000",Monday,August,FALSE,"KES 25,000",,,,
3/7/2023,CT_0109,CT Scanner,Radiology,16,4.9,0.31,8,10000,3000,"KES 80,000",Tuesday,March,FALSE,"KES 77,000",,,,
3/27/2023,CT_0110,CT Scanner,Radiology,17,16.6,0.98,17,10000,3000,"KES 170,000",Monday,March,FALSE,"KES 167,000",,,,
7/7/2023,MRI_0111,MRI Scanner,Radiology,14,3.4,0.24,4,30000,5000,"KES 120,000",Friday,July,FALSE,"KES 115,000",,,,
10/18/2023,MRI_0112,MRI Scanner,Radiology,13,3.4,0.26,1,30000,5000,"KES 30,000",Wednesday,October,FALSE,"KES 25,000",,,,
2/5/2023,XRAY_0113,X-Ray Machine,Radiology,8,6.4,0.8,14,2000,1500,"KES 28,000",Sunday,February,TRUE,"KES 26,500",,,,
4/1/2023,XRAY_0114,X-Ray Machine,Radiology,12,10.1,0.84,25,2000,1500,"KES 50,000",Saturday,April,TRUE,"KES 48,500",,,,
10/13/2023,XRAY_0115,X-Ray Machine,Radiology,14,11.6,0.83,20,2000,1500,"KES 40,000",Friday,October,FALSE,"KES 38,500",,,,
2/10/2023,MAMMO_0116,Mammography Unit,Women's Health,9,4.1,0.46,29,5000,1000,"KES 145,000",Friday,February,FALSE,"KES 144,000",,,,
5/16/2023,MAMMO_0117,Mammography Unit,Women's Health,8,3.3,0.41,25,5000,1000,"KES 125,000",Tuesday,May,FALSE,"KES 124,000",,,,
8/10/2023,XRAY_0118,X-Ray Machine,Radiology,19,13,0.68,19,2000,1500,"KES 38,000",Thursday,August,FALSE,"KES 36,500",,,,
7/20/2023,CT_0119,CT Scanner,Radiology,15,9.7,0.65,15,10000,3000,"KES 150,000",Thursday,July,FALSE,"KES 147,000",,,,
12/14/2023,MRI_0120,MRI Scanner,Radiology,12,1.3,0.11,5,30000,5000,"KES 150,000",Thursday,December,FALSE,"KES 145,000",,,,
7/15/2023,MAMMO_0121,Mammography Unit,Women's Health,15,7.6,0.51,22,5000,1000,"KES 110,000",Saturday,July,TRUE,"KES 109,000",,,,
5/23/2023,XRAY_0122,X-Ray Machine,Radiology,9,7.1,0.79,10,2000,1500,"KES 20,000",Tuesday,May,FALSE,"KES 18,500",,,,
6/28/2023,MRI_0123,MRI Scanner,Radiology,11,1.5,0.14,1,30000,5000,"KES 30,000",Wednesday,June,FALSE,"KES 25,000",,,,
8/4/2023,MAMMO_0124,Mammography Unit,Women's Health,10,4.1,0.41,14,5000,1000,"KES 70,000",Friday,August,FALSE,"KES 69,000",,,,
1/28/2023,MAMMO_0125,Mammography Unit,Women's Health,15,14.8,0.99,29,5000,1000,"KES 145,000",Saturday,January,TRUE,"KES 144,000",,,,
1/26/2023,XRAY_0126,X-Ray Machine,Radiology,12,4.3,0.36,23,2000,1500,"KES 46,000",Thursday,January,FALSE,"KES 44,500",,,,
5/18/2023,XRAY_0127,X-Ray Machine,Radiology,8,3.5,0.44,14,2000,1500,"KES 28,000",Thursday,May,FALSE,"KES 26,500",,,,
7/3/2023,CT_0128,CT Scanner,Radiology,8,3.4,0.42,8,10000,3000,"KES 80,000",Monday,July,FALSE,"KES 77,000",,,,
3/20/2023,CT_0129,CT Scanner,Radiology,17,8.5,0.5,20,10000,3000,"KES 200,000",Monday,March,FALSE,"KES 197,000",,,,
12/6/2023,US_0130,Ultrasound,Radiology,10,9.9,0.99,34,3000,1000,"KES 102,000",Wednesday,December,FALSE,"KES 101,000",,,,
8/13/2023,MAMMO_0131,Mammography Unit,Women's Health,8,3.1,0.39,24,5000,1000,"KES 120,000",Sunday,August,TRUE,"KES 119,000",,,,
6/28/2023,MAMMO_0132,Mammography Unit,Women's Health,9,3.6,0.4,13,5000,1000,"KES 65,000",Wednesday,June,FALSE,"KES 64,000",,,,
1/11/2023,US_0133,Ultrasound,Radiology,12,10.7,0.89,15,3000,1000,"KES 45,000",Wednesday,January,FALSE,"KES 44,000",,,,
9/8/2023,XRAY_0134,X-Ray Machine,Radiology,11,8.7,0.79,12,2000,1500,"KES 24,000",Friday,September,FALSE,"KES 22,500",,,,
4/4/2023,CT_0135,CT Scanner,Radiology,8,7.2,0.9,21,10000,3000,"KES 210,000",Tuesday,April,FALSE,"KES 207,000",,,,
10/29/2023,CT_0136,CT Scanner,Radiology,20,9.6,0.48,20,10000,3000,"KES 200,000",Sunday,October,TRUE,"KES 197,000",,,,
6/10/2023,XRAY_0137,X-Ray Machine,Radiology,8,3.4,0.42,13,2000,1500,"KES 26,000",Saturday,June,TRUE,"KES 24,500",,,,
5/5/2023,XRAY_0138,X-Ray Machine,Radiology,8,6.2,0.78,23,2000,1500,"KES 46,000",Friday,May,FALSE,"KES 44,500",,,,
3/27/2023,MRI_0139,MRI Scanner,Radiology,9,2.1,0.23,3,30000,5000,"KES 90,000",Monday,March,FALSE,"KES 85,000",,,,
10/21/2023,US_0140,Ultrasound,Radiology,9,8.6,0.96,15,3000,1000,"KES 45,000",Saturday,October,TRUE,"KES 44,000",,,,
8/13/2023,MRI_0141,MRI Scanner,Radiology,12,2.2,0.18,1,30000,5000,"KES 30,000",Sunday,August,TRUE,"KES 25,000",,,,
5/27/2023,MRI_0142,MRI Scanner,Radiology,9,1.2,0.13,4,30000,5000,"KES 120,000",Saturday,May,TRUE,"KES 115,000",,,,
7/20/2023,CT_0143,CT Scanner,Radiology,9,4.1,0.46,19,10000,3000,"KES 190,000",Thursday,July,FALSE,"KES 187,000",,,,
8/27/2023,MAMMO_0144,Mammography Unit,Women's Health,15,6.7,0.45,16,5000,1000,"KES 80,000",Sunday,August,TRUE,"KES 79,000",,,,
10/3/2023,MRI_0145,MRI Scanner,Radiology,8,0.9,0.11,4,30000,5000,"KES 120,000",Tuesday,October,FALSE,"KES 115,000",,,,
2/14/2023,CT_0146,CT Scanner,Radiology,19,11,0.58,17,10000,3000,"KES 170,000",Tuesday,February,FALSE,"KES 167,000",,,,
2/21/2023,MAMMO_0147,Mammography Unit,Women's Health,16,8,0.5,11,5000,1000,"KES 55,000",Tuesday,February,FALSE,"KES 54,000",,,,
4/14/2023,US_0148,Ultrasound,Radiology,11,10.8,0.98,30,3000,1000,"KES 90,000",Friday,April,FALSE,"KES 89,000",,,,
2/15/2023,MRI_0149,MRI Scanner,Radiology,8,1.3,0.16,4,30000,5000,"KES 120,000",Wednesday,February,FALSE,"KES 115,000",,,,
9/14/2023,XRAY_0150,X-Ray Machine,Radiology,19,8.6,0.45,21,2000,1500,"KES 42,000",Thursday,September,FALSE,"KES 40,500",,,,
10/14/2023,MAMMO_0151,Mammography Unit,Women's Health,18,3.9,0.22,28,5000,1000,"KES 140,000",Saturday,October,TRUE,"KES 139,000",,,,
8/5/2023,MRI_0152,MRI Scanner,Radiology,11,3,0.27,2,30000,5000,"KES 60,000",Saturday,August,TRUE,"KES 55,000",,,,
3/14/2023,MRI_0153,MRI Scanner,Radiology,12,3.2,0.27,3,30000,5000,"KES 90,000",Tuesday,March,FALSE,"KES 85,000",,,,
8/20/2023,MRI_0154,MRI Scanner,Radiology,13,1.1,0.08,3,30000,5000,"KES 90,000",Sunday,August,TRUE,"KES 85,000",,,,
3/31/2023,US_0155,Ultrasound,Radiology,8,6.7,0.84,25,3000,1000,"KES 75,000",Friday,March,FALSE,"KES 74,000",,,,
2/13/2023,CT_0156,CT Scanner,Radiology,18,3.5,0.19,25,10000,3000,"KES 250,000",Monday,February,FALSE,"KES 247,000",,,,
5/21/2023,MRI_0157,MRI Scanner,Radiology,9,3.4,0.38,4,30000,5000,"KES 120,000",Sunday,May,TRUE,"KES 115,000",,,,
11/8/2023,XRAY_0158,X-Ray Machine,Radiology,16,9.5,0.59,13,2000,1500,"KES 26,000",Wednesday,November,FALSE,"KES 24,500",,,,
4/27/2023,US_0159,Ultrasound,Radiology,12,8.9,0.74,23,3000,1000,"KES 69,000",Thursday,April,FALSE,"KES 68,000",,,,
6/10/2023,US_0160,Ultrasound,Radiology,9,7.2,0.8,24,3000,1000,"KES 72,000",Saturday,June,TRUE,"KES 71,000",,,,
6/27/2023,XRAY_0161,X-Ray Machine,Radiology,12,9.7,0.81,24,2000,1500,"KES 48,000",Tuesday,June,FALSE,"KES 46,500",,,,
3/6/2023,MRI_0162,MRI Scanner,Radiology,13,3.4,0.26,4,30000,5000,"KES 120,000",Monday,March,FALSE,"KES 115,000",,,,
4/14/2023,XRAY_0163,X-Ray Machine,Radiology,18,9.9,0.55,23,2000,1500,"KES 46,000",Friday,April,FALSE,"KES 44,500",,,,
5/31/2023,CT_0164,CT Scanner,Radiology,10,6.4,0.64,25,10000,3000,"KES 250,000",Wednesday,May,FALSE,"KES 247,000",,,,
5/22/2023,CT_0165,CT Scanner,Radiology,16,7.4,0.46,25,10000,3000,"KES 250,000",Monday,May,FALSE,"KES 247,000",,,,
7/15/2023,MAMMO_0166,Mammography Unit,Women's Health,13,3.7,0.28,10,5000,1000,"KES 50,000",Saturday,July,TRUE,"KES 49,000",,,,
8/29/2023,US_0167,Ultrasound,Radiology,9,6.6,0.73,26,3000,1000,"KES 78,000",Tuesday,August,FALSE,"KES 77,000",,,,
1/22/2023,MAMMO_0168,Mammography Unit,Women's Health,13,9.8,0.75,16,5000,1000,"KES 80,000",Sunday,January,TRUE,"KES 79,000",,,,
4/30/2023,CT_0169,CT Scanner,Radiology,15,8.2,0.55,19,10000,3000,"KES 190,000",Sunday,April,TRUE,"KES 187,000",,,,
12/20/2023,MRI_0170,MRI Scanner,Radiology,13,3.1,0.24,4,30000,5000,"KES 120,000",Wednesday,December,FALSE,"KES 115,000",,,,
1/9/2023,CT_0171,CT Scanner,Radiology,12,5.3,0.44,15,10000,3000,"KES 150,000",Monday,January,FALSE,"KES 147,000",,,,
6/28/2023,XRAY_0172,X-Ray Machine,Radiology,14,13.5,0.96,30,2000,1500,"KES 60,000",Wednesday,June,FALSE,"KES 58,500",,,,
11/6/2023,MRI_0173,MRI Scanner,Radiology,9,3.7,0.41,1,30000,5000,"KES 30,000",Monday,November,FALSE,"KES 25,000",,,,
1/12/2023,XRAY_0174,X-Ray Machine,Radiology,11,5.4,0.49,22,2000,1500,"KES 44,000",Thursday,January,FALSE,"KES 42,500",,,,
12/28/2023,US_0175,Ultrasound,Radiology,8,6.4,0.8,19,3000,1000,"KES 57,000",Thursday,December,FALSE,"KES 56,000",,,,
11/22/2023,CT_0176,CT Scanner,Radiology,16,8.8,0.55,27,10000,3000,"KES 270,000",Wednesday,November,FALSE,"KES 267,000",,,,
7/19/2023,XRAY_0177,X-Ray Machine,Radiology,15,14.9,0.99,29,2000,1500,"KES 58,000",Wednesday,July,FALSE,"KES 56,500",,,,
5/5/2023,MRI_0178,MRI Scanner,Radiology,11,0.9,0.08,5,30000,5000,"KES 150,000",Friday,May,FALSE,"KES 145,000",,,,
