Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend
2024-01-05,MAMMO_B05,Mammography Unit,Women's Health,8,5.37,0.672,14,805.87,0.0,3164.35,Friday,January,False
2024-01-05,MRI_C06,MRI Scanner,Radiology,16,15.32,0.957,45,6892.56,0.0,50738.92,Friday,January,False
2024-01-05,CT_A07,CT Scanner,Radiology,20,18.24,0.912,80,6929.72,0.0,81582.35,Friday,January,False
2024-01-05,XRAY_B08,X-Ray Machine,Radiology,12,9.93,0.828,25,1192.14,0.0,3816.07,Friday,January,False
2024-01-05,US_C09,Ultrasound,Radiology,10,5.76,0.576,13,489.9,0.0,2589.69,Friday,January,False
2024-01-05,MAMMO_A10,Mammography Unit,Women's Health,8,3.94,0.493,6,591.68,0.0,1553.6,Friday,January,False
2024-01-05,MRI_B11,MRI Scanner,Radiology,16,10.87,0.679,33,4890.31,278.02,40109.06,Friday,January,False
2024-01-05,CT_C12,CT Scanner,Radiology,20,18.32,0.916,34,6961.21,202.28,28606.1,Friday,January,False
2024-01-06,MRI_A01,MRI Scanner,Radiology,16,6.86,0.429,19,3086.18,0.0,22834.53,Saturday,January,True
2024-01-06,CT_B02,CT Scanner,Radiology,20,7.22,0.361,21,2745.27,0.0,17712.0,Saturday,January,True
2024-01-06,XRAY_C03,X-Ray Machine,Radiology,12,2.44,0.203,5,292.23,161.41,874.6,Saturday,January,True
2024-01-06,US_A04,Ultrasound,Radiology,10,2.59,0.259,6,219.82,0.0,1411.85,Saturday,January,True
2024-01-06,MAMMO_B05,Mammography Unit,Women's Health,8,2.18,0.272,4,326.88,0.0,1091.79,Saturday,January,True
2024-01-06,MRI_C06,MRI Scanner,Radiology,16,5.16,0.323,17,2322.99,0.0,17300.49,Saturday,January,True
2024-01-06,CT_A07,CT Scanner,Radiology,20,6.34,0.317,19,2407.35,164.62,16694.06,Saturday,January,True
2024-01-06,XRAY_B08,X-Ray Machine,Radiology,12,4.74,0.395,11,568.49,0.0,1496.12,Saturday,January,True
2024-01-06,US_C09,Ultrasound,Radiology,10,2.64,0.264,4,224.26,0.0,923.45,Saturday,January,True
2024-01-06,MAMMO_A10,Mammography Unit,Women's Health,8,2.77,0.346,6,415.03,0.0,1430.15,Saturday,January,True
2024-01-06,MRI_B11,MRI Scanner,Radiology,16,5.92,0.37,14,2662.49,0.0,16459.87,Saturday,January,True
2024-01-06,CT_C12,CT Scanner,Radiology,20,6.86,0.343,19,2606.22,0.0,17315.62,Saturday,January,True
2024-01-07,MRI_A01,MRI Scanner,Radiology,16,6.32,0.395,11,2845.16,0.0,14106.64,Sunday,January,True
2024-01-07,CT_B02,CT Scanner,Radiology,20,6.87,0.343,18,2609.89,0.0,16024.23,Sunday,January,True
2024-01-07,XRAY_C03,X-Ray Machine,Radiology,12,3.36,0.28,7,403.53,244.25,1001.22,Sunday,January,True
2024-01-07,US_A04,Ultrasound,Radiology,10,2.4,0.24,5,204.15,0.0,1089.96,Sunday,January,True
2024-01-07,MAMMO_B05,Mammography Unit,Women's Health,8,2.12,0.265,6,317.5,0.0,1594.44,Sunday,January,True
2024-01-07,MRI_C06,MRI Scanner,Radiology,16,5.33,0.333,11,2398.35,0.0,13172.41,Sunday,January,True
2024-01-07,CT_A07,CT Scanner,Radiology,20,6.91,0.346,21,2626.8,0.0,17781.93,Sunday,January,True
2024-01-07,XRAY_B08,X-Ray Machine,Radiology,12,4.46,0.372,10,535.4,0.0,1695.82,Sunday,January,True
2024-01-07,US_C09,Ultrasound,Radiology,10,2.81,0.281,7,239.14,0.0,1356.56,Sunday,January,True
2024-01-07,MAMMO_A10,Mammography Unit,Women's Health,8,1.75,0.218,3,261.98,0.0,757.27,Sunday,January,True
2024-01-07,MRI_B11,MRI Scanner,Radiology,16,5.37,0.336,11,2417.11,0.0,15961.95,Sunday,January,True
2024-01-07,CT_C12,CT Scanner,Radiology,20,7.96,0.398,15,3023.56,0.0,14342.56,Sunday,January,True
2024-01-08,MRI_A01,MRI Scanner,Radiology,16,13.51,0.844,33,6078.61,155.14,31323.53,Monday,January,False
2024-01-08,CT_B02,CT Scanner,Radiology,20,20.0,1.0,46,7600.0,240.19,43109.54,Monday,January,False
2024-01-08,XRAY_C03,X-Ray Machine,Radiology,12,6.58,0.549,13,789.88,212.18,1865.51,Monday,January,False
2024-01-08,US_A04,Ultrasound,Radiology,10,7.33,0.733,20,622.72,243.63,3420.77,Monday,January,False
2024-01-08,MAMMO_B05,Mammography Unit,Women's Health,8,2.55,0.319,5,382.21,0.0,1223.32,Monday,January,False
2024-01-08,MRI_C06,MRI Scanner,Radiology,16,7.11,0.444,23,3199.96,0.0,27547.52,Monday,January,False
2024-01-08,CT_A07,CT Scanner,Radiology,20,14.59,0.73,36,5545.69,185.57,36518.49,Monday,January,False
2024-01-08,XRAY_B08,X-Ray Machine,Radiology,12,9.47,0.789,25,1135.81,0.0,3783.33,Monday,January,False
2024-01-08,US_C09,Ultrasound,Radiology,10,8.1,0.81,18,688.86,0.0,3625.07,Monday,January,False
2024-01-08,MAMMO_A10,Mammography Unit,Women's Health,8,6.37,0.797,17,956.04,0.0,4273.1,Monday,January,False
2024-01-08,MRI_B11,MRI Scanner,Radiology,16,15.48,0.968,46,6967.24,0.0,61826.27,Monday,January,False
2024-01-08,CT_C12,CT Scanner,Radiology,20,20.0,1.0,48,7600.0,0.0,47417.66,Monday,January,False
2024-01-09,MRI_A01,MRI Scanner,Radiology,16,9.98,0.624,21,4493.1,0.0,27802.15,Tuesday,January,False
2024-01-09,CT_B02,CT Scanner,Radiology,20,12.66,0.633,19,4809.16,0.0,17719.83,Tuesday,January,False
2024-01-09,XRAY_C03,X-Ray Machine,Radiology,12,5.86,0.488,16,703.13,0.0,2578.07,Tuesday,January,False
2024-01-09,US_A04,Ultrasound,Radiology,10,9.36,0.936,26,795.83,0.0,5131.2,Tuesday,January,False
2024-01-09,MAMMO_B05,Mammography Unit,Women's Health,8,6.69,0.836,15,1003.07,0.0,3860.8,Tuesday,January,False
2024-01-09,MRI_C06,MRI Scanner,Radiology,16,9.37,0.585,25,4214.87,0.0,29740.76,Tuesday,January,False
2024-01-09,CT_A07,CT Scanner,Radiology,20,16.73,0.836,52,6355.54,0.0,46291.62,Tuesday,January,False
2024-01-09,XRAY_B08,X-Ray Machine,Radiology,12,7.68,0.64,20,921.62,0.0,3090.7,Tuesday,January,False
2024-01-09,US_C09,Ultrasound,Radiology,10,7.01,0.701,17,595.71,0.0,3293.57,Tuesday,January,False
2024-01-09,MAMMO_A10,Mammography Unit,Women's Health,8,2.24,0.28,4,336.21,0.0,1053.55,Tuesday,January,False
2024-01-09,MRI_B11,MRI Scanner,Radiology,16,8.32,0.52,26,3743.16,212.12,37587.88,Tuesday,January,False
2024-01-09,CT_C12,CT Scanner,Radiology,20,17.28,0.864,56,6564.75,0.0,60786.17,Tuesday,January,False
2024-01-10,MRI_A01,MRI Scanner,Radiology,16,16.0,1.0,38,7200.0,248.58,52390.05,Wednesday,January,False
2024-01-10,CT_B02,CT Scanner,Radiology,20,19.11,0.955,43,7260.58,182.88,42796.1,Wednesday,January,False
2024-01-10,XRAY_C03,X-Ray Machine,Radiology,12,4.0,0.333,7,480.13,0.0,835.88,Wednesday,January,False
2024-01-10,US_A04,Ultrasound,Radiology,10,7.32,0.732,10,622.22,0.0,2325.72,Wednesday,January,False
2024-01-10,MAMMO_B05,Mammography Unit,Women's Health,8,2.59,0.324,4,388.78,0.0,994.45,Wednesday,January,False
2024-01-10,MRI_C06,MRI Scanner,Radiology,16,11.99,0.749,32,5393.3,0.0,33390.84,Wednesday,January,False
2024-01-10,CT_A07,CT Scanner,Radiology,20,18.61,0.93,49,7070.74,0.0,39955.13,Wednesday,January,False
2024-01-10,XRAY_B08,X-Ray Machine,Radiology,12,9.41,0.785,22,1129.72,0.0,2974.71,Wednesday,January,False
2024-01-10,US_C09,Ultrasound,Radiology,10,7.81,0.781,17,663.55,0.0,3130.42,Wednesday,January,False
2024-01-10,MAMMO_A10,Mammography Unit,Women's Health,8,2.51,0.313,6,375.82,0.0,1794.71,Wednesday,January,False
2024-01-10,MRI_B11,MRI Scanner,Radiology,16,12.08,0.755,25,5438.08,0.0,30641.94,Wednesday,January,False
2024-01-10,CT_C12,CT Scanner,Radiology,20,19.04,0.952,41,7236.44,0.0,34942.45,Wednesday,January,False
2024-01-11,MRI_A01,MRI Scanner,Radiology,16,10.62,0.664,25,4778.12,0.0,23094.24,Thursday,January,False
2024-01-11,CT_B02,CT Scanner,Radiology,20,15.5,0.775,21,5888.61,0.0,19989.69,Thursday,January,False
2024-01-11,XRAY_C03,X-Ray Machine,Radiology,12,8.47,0.706,34,1016.68,255.98,5877.13,Thursday,January,False
2024-01-11,US_A04,Ultrasound,Radiology,10,3.07,0.307,6,260.88,0.0,1091.45,Thursday,January,False
2024-01-11,MAMMO_B05,Mammography Unit,Women's Health,8,3.77,0.471,7,564.82,210.91,1909.35,Thursday,January,False
2024-01-11,MRI_C06,MRI Scanner,Radiology,16,14.53,0.908,41,6539.76,0.0,49580.65,Thursday,January,False
2024-01-11,CT_A07,CT Scanner,Radiology,20,14.93,0.747,48,5674.51,0.0,45528.09,Thursday,January,False
2024-01-11,XRAY_B08,X-Ray Machine,Radiology,12,6.96,0.58,15,835.41,0.0,2458.39,Thursday,January,False
2024-01-11,US_C09,Ultrasound,Radiology,10,10.0,1.0,18,850.0,228.15,3435.08,Thursday,January,False
2024-01-11,MAMMO_A10,Mammography Unit,Women's Health,8,3.8,0.475,8,569.76,0.0,1917.31,Thursday,January,False
2024-01-11,MRI_B11,MRI Scanner,Radiology,16,12.12,0.757,25,5452.4,0.0,31170.76,Thursday,January,False
2024-01-11,CT_C12,CT Scanner,Radiology,20,16.8,0.84,43,6382.56,0.0,39758.74,Thursday,January,False
2024-01-12,MRI_A01,MRI Scanner,Radiology,16,13.2,0.825,26,5940.99,0.0,37575.16,Friday,January,False
2024-01-12,CT_B02,CT Scanner,Radiology,20,20.0,1.0,59,7600.0,0.0,49055.19,Friday,January,False
2024-01-12,XRAY_C03,X-Ray Machine,Radiology,12,6.15,0.513,9,738.16,0.0,1288.09,Friday,January,False
2024-01-12,US_A04,Ultrasound,Radiology,10,6.51,0.651,11,553.29,0.0,2375.5,Friday,January,False
2024-01-12,MAMMO_B05,Mammography Unit,Women's Health,8,4.69,0.587,8,704.14,0.0,1970.29,Friday,January,False
2024-01-12,MRI_C06,MRI Scanner,Radiology,16,11.02,0.689,24,4959.94,0.0,30989.52,Friday,January,False
2024-01-12,CT_A07,CT Scanner,Radiology,20,18.27,0.914,58,6943.18,0.0,42959.33,Friday,January,False
2024-01-12,XRAY_B08,X-Ray Machine,Radiology,12,5.57,0.464,14,668.34,0.0,2118.77,Friday,January,False
2024-01-12,US_C09,Ultrasound,Radiology,10,7.14,0.714,17,606.78,0.0,3359.25,Friday,January,False
2024-01-12,MAMMO_A10,Mammography Unit,Women's Health,8,4.98,0.623,10,747.3,0.0,2647.08,Friday,January,False
2024-01-12,MRI_B11,MRI Scanner,Radiology,16,12.95,0.809,29,5826.01,0.0,27115.79,Friday,January,False
2024-01-12,CT_C12,CT Scanner,Radiology,20,17.87,0.893,42,6789.03,0.0,41381.99,Friday,January,False
2024-01-13,MRI_A01,MRI Scanner,Radiology,16,2.84,0.178,5,1279.53,0.0,6630.96,Saturday,January,True
2024-01-13,CT_B02,CT Scanner,Radiology,20,5.99,0.3,10,2276.27,0.0,9014.45,Saturday,January,True
2024-01-13,XRAY_C03,X-Ray Machine,Radiology,12,3.84,0.32,5,460.39,0.0,683.64,Saturday,January,True
2024-01-13,US_A04,Ultrasound,Radiology,10,2.98,0.298,7,253.61,0.0,1479.65,Saturday,January,True
2024-01-13,MAMMO_B05,Mammography Unit,Women's Health,8,2.14,0.267,4,320.5,0.0,1096.59,Saturday,January,True
2024-01-13,MRI_C06,MRI Scanner,Radiology,16,4.88,0.305,11,2195.45,0.0,13733.04,Saturday,January,True
2024-01-13,CT_A07,CT Scanner,Radiology,20,7.6,0.38,15,2886.91,275.49,14042.75,Saturday,January,True
2024-01-13,XRAY_B08,X-Ray Machine,Radiology,12,2.82,0.235,8,338.37,0.0,1167.62,Saturday,January,True
2024-01-13,US_C09,Ultrasound,Radiology,10,2.17,0.217,4,184.76,0.0,830.18,Saturday,January,True
2024-01-13,MAMMO_A10,Mammography Unit,Women's Health,8,2.54,0.317,7,380.53,0.0,1822.35,Saturday,January,True
2024-01-13,MRI_B11,MRI Scanner,Radiology,16,6.6,0.413,13,2970.78,0.0,13658.34,Saturday,January,True
2024-01-13,CT_C12,CT Scanner,Radiology,20,6.96,0.348,20,2646.23,0.0,19177.86,Saturday,January,True
2024-01-14,MRI_A01,MRI Scanner,Radiology,16,4.75,0.297,12,2135.99,0.0,12779.3,Sunday,January,True
2024-01-14,CT_B02,CT Scanner,Radiology,20,6.61,0.33,16,2510.0,0.0,14557.53,Sunday,January,True
2024-01-14,XRAY_C03,X-Ray Machine,Radiology,12,3.75,0.312,10,449.65,0.0,1533.58,Sunday,January,True
2024-01-14,US_A04,Ultrasound,Radiology,10,2.96,0.296,5,251.61,0.0,1159.32,Sunday,January,True
2024-01-14,MAMMO_B05,Mammography Unit,Women's Health,8,1.59,0.199,3,238.92,0.0,740.57,Sunday,January,True
2024-01-14,MRI_C06,MRI Scanner,Radiology,16,7.24,0.452,19,3256.71,0.0,22439.74,Sunday,January,True
2024-01-14,CT_A07,CT Scanner,Radiology,20,6.39,0.32,12,2428.27,0.0,9012.75,Sunday,January,True
2024-01-14,XRAY_B08,X-Ray Machine,Radiology,12,2.92,0.243,8,350.57,0.0,1159.71,Sunday,January,True
2024-01-14,US_C09,Ultrasound,Radiology,10,3.87,0.387,9,328.79,124.84,1798.8,Sunday,January,True
2024-01-14,MAMMO_A10,Mammography Unit,Women's Health,8,1.08,0.134,3,161.36,0.0,738.21,Sunday,January,True
2024-01-14,MRI_B11,MRI Scanner,Radiology,16,6.57,0.411,20,2958.75,149.14,25240.01,Sunday,January,True
2024-01-14,CT_C12,CT Scanner,Radiology,20,6.03,0.302,14,2292.48,0.0,15842.43,Sunday,January,True
2024-01-15,MRI_A01,MRI Scanner,Radiology,16,12.14,0.759,30,5463.96,0.0,35913.15,Monday,January,False
2024-01-15,CT_B02,CT Scanner,Radiology,20,16.72,0.836,43,6355.26,0.0,38573.24,Monday,January,False
2024-01-15,XRAY_C03,X-Ray Machine,Radiology,12,6.63,0.552,14,795.14,0.0,2122.35,Monday,January,False
2024-01-15,US_A04,Ultrasound,Radiology,10,9.22,0.922,10,783.85,0.0,2249.22,Monday,January,False
2024-01-15,MAMMO_B05,Mammography Unit,Women's Health,8,1.48,0.185,3,222.39,0.0,722.14,Monday,January,False
2024-01-15,MRI_C06,MRI Scanner,Radiology,16,11.64,0.728,32,5238.13,0.0,34135.39,Monday,January,False
2024-01-15,CT_A07,CT Scanner,Radiology,20,20.0,1.0,59,7600.0,263.58,49359.26,Monday,January,False
2024-01-15,XRAY_B08,X-Ray Machine,Radiology,12,6.23,0.519,15,747.22,0.0,2220.67,Monday,January,False
2024-01-15,US_C09,Ultrasound,Radiology,10,5.04,0.504,14,428.79,240.69,2536.68,Monday,January,False
2024-01-15,MAMMO_A10,Mammography Unit,Women's Health,8,5.18,0.647,13,776.32,0.0,2898.65,Monday,January,False
2024-01-15,MRI_B11,MRI Scanner,Radiology,16,13.48,0.842,37,6065.21,184.52,36986.18,Monday,January,False
2024-01-15,CT_C12,CT Scanner,Radiology,20,20.0,1.0,37,7600.0,0.0,30581.7,Monday,January,False
2024-01-16,MRI_A01,MRI Scanner,Radiology,16,8.26,0.517,23,3718.84,0.0,31040.88,Tuesday,January,False
2024-01-16,CT_B02,CT Scanner,Radiology,20,11.79,0.59,19,4481.07,0.0,16168.18,Tuesday,January,False
2024-01-16,XRAY_C03,X-Ray Machine,Radiology,12,6.62,0.552,17,794.76,0.0,2797.81,Tuesday,January,False
2024-01-16,US_A04,Ultrasound,Radiology,10,6.95,0.695,16,590.79,267.3,3298.5,Tuesday,January,False
2024-01-16,MAMMO_B05,Mammography Unit,Women's Health,8,2.06,0.258,3,309.56,237.16,653.37,Tuesday,January,False
2024-01-16,MRI_C06,MRI Scanner,Radiology,16,12.24,0.765,20,5508.88,0.0,25324.47,Tuesday,January,False
2024-01-16,CT_A07,CT Scanner,Radiology,20,19.47,0.973,53,7398.59,0.0,55429.94,Tuesday,January,False
2024-01-16,XRAY_B08,X-Ray Machine,Radiology,12,11.19,0.933,22,1343.07,0.0,3468.4,Tuesday,January,False
2024-01-16,US_C09,Ultrasound,Radiology,10,4.05,0.405,7,344.64,0.0,1351.28,Tuesday,January,False
2024-01-16,MAMMO_A10,Mammography Unit,Women's Health,8,5.12,0.64,9,767.65,0.0,2380.73,Tuesday,January,False
2024-01-16,MRI_B11,MRI Scanner,Radiology,16,9.78,0.612,17,4402.91,0.0,21570.89,Tuesday,January,False
2024-01-16,CT_C12,CT Scanner,Radiology,20,12.79,0.64,45,4860.74,0.0,39266.56,Tuesday,January,False
2024-01-17,MRI_A01,MRI Scanner,Radiology,16,9.94,0.621,28,4472.97,230.38,28495.56,Wednesday,January,False
2024-01-17,CT_B02,CT Scanner,Radiology,20,16.99,0.849,36,6455.13,0.0,36123.65,Wednesday,January,False
2024-01-17,XRAY_C03,X-Ray Machine,Radiology,12,6.28,0.523,15,753.74,0.0,2648.43,Wednesday,January,False
2024-01-17,US_A04,Ultrasound,Radiology,10,4.51,0.451,10,383.12,0.0,2126.48,Wednesday,January,False
2024-01-17,MAMMO_B05,Mammography Unit,Women's Health,8,6.36,0.795,17,953.41,0.0,3582.65,Wednesday,January,False
2024-01-17,MRI_C06,MRI Scanner,Radiology,16,8.83,0.552,21,3975.1,0.0,26158.1,Wednesday,January,False
2024-01-17,CT_A07,CT Scanner,Radiology,20,18.47,0.923,51,7016.85,0.0,50860.78,Wednesday,January,False
2024-01-17,XRAY_B08,X-Ray Machine,Radiology,12,6.82,0.568,19,818.39,0.0,2972.44,Wednesday,January,False
2024-01-17,US_C09,Ultrasound,Radiology,10,7.33,0.733,19,623.25,0.0,3314.84,Wednesday,January,False
2024-01-17,MAMMO_A10,Mammography Unit,Women's Health,8,5.51,0.689,13,827.19,0.0,3237.14,Wednesday,January,False
2024-01-17,MRI_B11,MRI Scanner,Radiology,16,13.64,0.852,34,6136.02,0.0,40921.41,Wednesday,January,False
2024-01-17,CT_C12,CT Scanner,Radiology,20,13.63,0.681,37,5178.49,211.11,31705.77,Wednesday,January,False
2024-01-18,MRI_A01,MRI Scanner,Radiology,16,15.01,0.938,30,6756.22,220.63,29053.14,Thursday,January,False
2024-01-18,CT_B02,CT Scanner,Radiology,20,15.44,0.772,46,5866.67,0.0,42505.59,Thursday,January,False
2024-01-18,XRAY_C03,X-Ray Machine,Radiology,12,9.72,0.81,24,1166.59,0.0,3983.57,Thursday,January,False
2024-01-18,US_A04,Ultrasound,Radiology,10,8.96,0.896,19,761.35,0.0,4673.58,Thursday,January,False
2024-01-18,MAMMO_B05,Mammography Unit,Women's Health,8,4.22,0.527,9,632.92,0.0,2577.01,Thursday,January,False
2024-01-18,MRI_C06,MRI Scanner,Radiology,16,9.91,0.619,28,4457.56,132.78,30513.33,Thursday,January,False
2024-01-18,CT_A07,CT Scanner,Radiology,20,14.59,0.73,30,5544.22,103.32,23740.03,Thursday,January,False
2024-01-18,XRAY_B08,X-Ray Machine,Radiology,12,5.49,0.457,15,658.51,0.0,2471.47,Thursday,January,False
2024-01-18,US_C09,Ultrasound,Radiology,10,6.66,0.666,16,565.9,0.0,3415.94,Thursday,January,False
2024-01-18,MAMMO_A10,Mammography Unit,Women's Health,8,6.67,0.833,22,1000.1,0.0,5149.24,Thursday,January,False
2024-01-18,MRI_B11,MRI Scanner,Radiology,16,10.73,0.67,23,4826.52,0.0,26066.88,Thursday,January,False
2024-01-18,CT_C12,CT Scanner,Radiology,20,15.81,0.79,38,6007.68,0.0,39058.12,Thursday,January,False
2024-01-19,MRI_A01,MRI Scanner,Radiology,16,10.63,0.664,22,4783.59,0.0,27644.54,Friday,January,False
2024-01-19,CT_B02,CT Scanner,Radiology,20,15.31,0.765,32,5816.85,0.0,33256.81,Friday,January,False
2024-01-19,XRAY_C03,X-Ray Machine,Radiology,12,11.68,0.973,25,1401.49,0.0,3604.61,Friday,January,False
2024-01-19,US_A04,Ultrasound,Radiology,10,7.87,0.787,23,668.92,0.0,4518.6,Friday,January,False
2024-01-19,MAMMO_B05,Mammography Unit,Women's Health,8,3.52,0.44,6,528.41,0.0,1390.36,Friday,January,False
2024-01-19,MRI_C06,MRI Scanner,Radiology,16,9.98,0.624,24,4491.82,0.0,27309.28,Friday,January,False
2024-01-19,CT_A07,CT Scanner,Radiology,20,17.54,0.877,43,6664.09,0.0,43299.08,Friday,January,False
2024-01-19,XRAY_B08,X-Ray Machine,Radiology,12,10.4,0.867,27,1248.5,0.0,4326.17,Friday,January,False
