Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Mode_of_Payment
2023-09-29,US_0021,Ultrasound,Radiology,9,7.1,0.79,36,3848.28,0,37875.6,Friday,September,False,insurance
2023-08-01,MAMMO_0022,Mammography Unit,Women's Health,17,8.9,0.52,10,3721.13,0,30238.68,Tuesday,August,False,insurance
2023-06-16,MRI_0023,MRI Scanner,Radiology,13,2.2,0.17,2,5247.91,0,17729.61,Friday,June,False,insurance
2023-12-29,MAMMO_0024,Mammography Unit,Women's Health,15,6.8,0.45,18,6756.95,0,6610.15,Friday,December,False,insurance
2023-10-02,MAMMO_0025,Mammography Unit,Women's Health,20,18.5,0.93,20,1958.47,0,41714.08,Monday,October,False,insurance
2023-05-04,MAMMO_0026,Mammography Unit,Women's Health,12,4.0,0.33,27,3814.51,0,26399.23,Thursday,May,False,insurance
2023-08-08,US_0027,Ultrasound,Radiology,9,8.5,0.94,28,5906.22,0,8244.16,Tuesday,August,False,insurance
2023-08-27,MAMMO_0028,Mammography Unit,Women's Health,8,3.4,0.42,12,1213.65,0,8746.11,Sunday,August,True,insurance
2023-03-03,US_0029,Ultrasound,Radiology,10,8.4,0.84,20,3209.12,0,34344.54,Friday,March,False,insurance
2023-12-06,CT_0030,CT Scanner,Radiology,20,10.7,0.53,30,1877.18,0,13289.99,Wednesday,December,False,insurance
2023-01-11,MRI_0031,MRI Scanner,Radiology,14,3.2,0.23,3,4110.85,0,32156.74,Wednesday,January,False,insurance
2023-12-11,MAMMO_0032,Mammography Unit,Women's Health,20,18.5,0.93,29,1461.24,0,42281.32,Monday,December,False,cash
2023-10-27,CT_0033,CT Scanner,Radiology,20,4.2,0.21,7,4975.76,0,20719.94,Friday,October,False,insurance
2023-11-25,MAMMO_0034,Mammography Unit,Women's Health,9,4.3,0.48,30,4535.3,0,38751.13,Saturday,November,True,cash
2023-08-02,CT_0035,CT Scanner,Radiology,14,13.3,0.95,6,2522.98,0,26399.91,Wednesday,August,False,insurance
2023-05-03,MRI_0036,MRI Scanner,Radiology,14,2.6,0.19,3,3724.75,0,40480.99,Wednesday,May,False,insurance
2023-11-28,CT_0037,CT Scanner,Radiology,14,10.5,0.75,13,1654.55,0,34675.29,Tuesday,November,False,insurance
2023-09-13,XRAY_0038,X-Ray Machine,Radiology,10,8.0,0.8,23,4468.97,0,45280.87,Wednesday,September,False,insurance
2023-10-23,XRAY_0039,X-Ray Machine,Radiology,13,11.2,0.86,13,7439.73,0,21425.49,Monday,October,False,insurance
2023-08-11,MRI_0040,MRI Scanner,Radiology,13,2.9,0.22,4,7075.31,0,45872.31,Friday,August,False,cash
2023-09-23,US_0041,Ultrasound,Radiology,9,6.9,0.77,40,6089.66,0,15247.92,Saturday,September,True,insurance
2023-06-20,MAMMO_0042,Mammography Unit,Women's Health,14,13.3,0.95,23,3895.61,0,2074.15,Tuesday,June,False,cash
2023-10-13,MAMMO_0043,Mammography Unit,Women's Health,12,3.6,0.3,30,4405.93,0,35908.36,Friday,October,False,cash
2023-06-29,XRAY_0044,X-Ray Machine,Radiology,13,6.8,0.52,18,3118.14,0,9864.39,Thursday,June,False,insurance
2023-02-07,MAMMO_0045,Mammography Unit,Women's Health,8,7.6,0.95,14,7183.14,0,9511.44,Tuesday,February,False,cash
2023-01-22,CT_0046,CT Scanner,Radiology,19,4.8,0.25,7,1165.64,0,27450.49,Sunday,January,True,insurance
2023-06-04,CT_0047,CT Scanner,Radiology,15,11.8,0.79,15,883.13,0,16693.67,Sunday,June,True,cash
2023-06-25,XRAY_0048,X-Ray Machine,Radiology,18,4.2,0.23,23,4530.87,0,15806.83,Sunday,June,True,insurance
2023-10-03,MRI_0049,MRI Scanner,Radiology,10,2.9,0.29,4,1066.87,0,34472.67,Tuesday,October,False,insurance
2023-12-15,XRAY_0050,X-Ray Machine,Radiology,18,4.2,0.23,7,1979.07,0,49468.37,Friday,December,False,insurance
2023-01-07,MAMMO_0051,Mammography Unit,Women's Health,16,13.7,0.86,25,3882.47,0,38614.11,Saturday,January,True,insurance
2023-06-28,US_0052,Ultrasound,Radiology,10,8.3,0.83,23,4383.1,0,38685.8,Wednesday,June,False,insurance
2023-08-01,MRI_0053,MRI Scanner,Radiology,9,2.7,0.3,3,6986.56,0,43084.75,Tuesday,August,False,insurance
2023-01-19,MAMMO_0054,Mammography Unit,Women's Health,11,9.9,0.9,12,1193.95,0,47762.3,Thursday,January,False,insurance
2023-08-27,CT_0055,CT Scanner,Radiology,9,8.9,0.99,7,7141.19,0,38493.67,Sunday,August,True,insurance
2023-06-28,MRI_0056,MRI Scanner,Radiology,8,0.6,0.07,5,5485.42,0,6967.16,Wednesday,June,False,cash
2023-05-03,MRI_0057,MRI Scanner,Radiology,13,3.6,0.28,5,1914.51,0,15986.44,Wednesday,May,False,insurance
2023-08-17,US_0058,Ultrasound,Radiology,10,8.9,0.89,39,6034.79,0,31437.61,Thursday,August,False,insurance
2023-08-17,MRI_0059,MRI Scanner,Radiology,10,0.9,0.09,5,5964.89,0,49647.68,Thursday,August,False,insurance
2023-10-19,US_0060,Ultrasound,Radiology,9,6.3,0.7,19,6620.67,0,38054.43,Thursday,October,False,insurance
2023-05-18,XRAY_0061,X-Ray Machine,Radiology,11,6.9,0.63,12,2217.84,0,49658.7,Thursday,May,False,insurance
2023-09-25,XRAY_0062,X-Ray Machine,Radiology,17,10.0,0.59,6,1541.21,0,22692.29,Monday,September,False,cash
2023-02-12,US_0063,Ultrasound,Radiology,11,10.6,0.96,19,4050.04,0,49239.52,Sunday,February,True,insurance
2023-11-23,XRAY_0064,X-Ray Machine,Radiology,11,3.8,0.35,8,6575.48,0,2495.74,Thursday,November,False,cash
2023-04-24,CT_0065,CT Scanner,Radiology,8,3.3,0.41,21,3276.5,0,28571.62,Monday,April,False,insurance
2023-12-26,CT_0066,CT Scanner,Radiology,8,3.0,0.38,16,2819.61,0,45944.2,Tuesday,December,False,cash
2023-06-27,CT_0067,CT Scanner,Radiology,10,6.9,0.69,15,5646.11,0,39393.01,Tuesday,June,False,insurance
2023-02-06,XRAY_0068,X-Ray Machine,Radiology,16,7.1,0.44,28,858.46,0,19338.73,Monday,February,False,insurance
2023-07-10,MAMMO_0069,Mammography Unit,Women's Health,18,14.7,0.82,20,2801.96,0,3899.27,Monday,July,False,insurance
2023-12-16,US_0070,Ultrasound,Radiology,10,7.4,0.74,26,4070.3,0,12206.04,Saturday,December,True,insurance
2023-11-15,XRAY_0071,X-Ray Machine,Radiology,9,7.8,0.87,26,3130.47,0,22893.04,Wednesday,November,False,cash
2023-06-04,MAMMO_0072,Mammography Unit,Women's Health,15,6.4,0.43,10,1456.25,0,15115.28,Sunday,June,True,insurance
2023-11-01,CT_0073,CT Scanner,Radiology,19,10.4,0.55,9,5149.3,0,23711.28,Wednesday,November,False,cash
2023-06-05,CT_0074,CT Scanner,Radiology,16,9.4,0.59,24,6866.89,0,22373.98,Monday,June,False,insurance
2023-05-03,CT_0075,CT Scanner,Radiology,13,9.8,0.75,19,3873.68,0,17260.91,Wednesday,May,False,insurance
2023-02-05,MAMMO_0076,Mammography Unit,Women's Health,15,7.3,0.49,13,1334.9,0,8232.76,Sunday,February,True,insurance
2023-11-20,MAMMO_0077,Mammography Unit,Women's Health,15,10.9,0.73,8,4590.61,0,26999.5,Monday,November,False,insurance
2023-08-11,MAMMO_0078,Mammography Unit,Women's Health,9,5.0,0.56,8,5843.12,0,28694.84,Friday,August,False,insurance
2023-12-28,US_0079,Ultrasound,Radiology,10,9.6,0.96,35,6903.93,0,31183.15,Thursday,December,False,cash
2023-11-19,US_0080,Ultrasound,Radiology,12,11.7,0.97,29,832.3,0,22231.91,Sunday,November,True,insurance
2023-09-24,US_0081,Ultrasound,Radiology,10,7.8,0.78,36,2171.07,0,32441.31,Sunday,September,True,cash
2023-06-25,CT_0082,CT Scanner,Radiology,10,6.9,0.69,19,4166.14,0,19555.09,Sunday,June,True,insurance
2023-10-24,MRI_0083,MRI Scanner,Radiology,11,3.6,0.33,3,5211.42,0,13533.74,Tuesday,October,False,insurance
2023-10-26,MAMMO_0084,Mammography Unit,Women's Health,18,16.4,0.91,6,5754.58,0,36776.07,Thursday,October,False,insurance
2023-03-23,CT_0085,CT Scanner,Radiology,14,6.3,0.45,16,6070.82,0,30718.16,Thursday,March,False,insurance
2023-04-18,MAMMO_0086,Mammography Unit,Women's Health,10,8.1,0.81,19,1588.84,0,43735.2,Tuesday,April,False,insurance
2023-01-21,CT_0087,CT Scanner,Radiology,8,4.9,0.61,24,4152.52,0,23854.85,Saturday,January,True,cash
2023-06-24,MAMMO_0088,Mammography Unit,Women's Health,17,11.6,0.68,22,6819.03,0,34943.66,Saturday,June,True,insurance
2023-07-21,US_0089,Ultrasound,Radiology,11,10.6,0.96,40,1978.64,0,37034.11,Friday,July,False,cash
2023-11-22,MAMMO_0090,Mammography Unit,Women's Health,11,6.4,0.58,24,6478.28,0,41668.65,Wednesday,November,False,cash
2023-10-20,MRI_0091,MRI Scanner,Radiology,8,3.0,0.38,2,4128.1,0,13507.66,Friday,October,False,cash
2023-03-06,US_0092,Ultrasound,Radiology,10,8.3,0.83,23,2442.93,0,12605.34,Monday,March,False,cash
2023-02-22,MAMMO_0093,Mammography Unit,Women's Health,8,7.5,0.94,18,3732.94,0,29063.08,Wednesday,February,False,insurance
2023-06-23,MAMMO_0094,Mammography Unit,Women's Health,8,3.0,0.38,24,846.13,0,31069.73,Friday,June,False,insurance
2023-08-12,XRAY_0095,X-Ray Machine,Radiology,11,7.4,0.67,12,2772.24,0,37137.46,Saturday,August,True,insurance
2023-12-04,CT_0096,CT Scanner,Radiology,8,3.1,0.39,8,6131.89,0,40511.26,Monday,December,False,insurance
2023-08-12,MAMMO_0097,Mammography Unit,Women's Health,17,6.7,0.39,29,3151.06,0,19059.63,Saturday,August,True,insurance
2023-08-19,XRAY_0098,X-Ray Machine,Radiology,20,3.6,0.18,24,7371.07,0,39509.71,Saturday,August,True,insurance
2023-04-07,XRAY_0099,X-Ray Machine,Radiology,12,11.2,0.93,21,529.72,0,16900.2,Friday,April,False,cash
2023-12-01,US_0100,Ultrasound,Radiology,8,7.5,0.94,36,6626.77,0,15871.92,Friday,December,False,insurance
2023-07-11,MAMMO_0101,Mammography Unit,Women's Health,20,16.8,0.84,25,7163.94,0,7392.64,Tuesday,July,False,insurance
2023-08-09,US_0102,Ultrasound,Radiology,9,6.5,0.72,36,4245.57,0,23758.04,Wednesday,August,False,insurance
2023-05-04,XRAY_0103,X-Ray Machine,Radiology,14,7.8,0.56,22,5266.81,0,30090.9,Thursday,May,False,insurance
2023-03-27,MRI_0104,MRI Scanner,Radiology,15,0.6,0.04,4,4949.49,0,9157.81,Monday,March,False,insurance
2023-11-07,MAMMO_0105,Mammography Unit,Women's Health,10,6.9,0.69,17,6951.09,0,37088.62,Tuesday,November,False,cash
2023-03-17,US_0106,Ultrasound,Radiology,9,6.4,0.71,21,655.23,0,40392.48,Friday,March,False,insurance
2023-07-14,US_0107,Ultrasound,Radiology,9,7.2,0.8,23,4910.93,0,39633.78,Friday,July,False,insurance
2023-08-14,MRI_0108,MRI Scanner,Radiology,15,1.9,0.13,1,4263.03,0,10511.07,Monday,August,False,cash
2023-03-07,CT_0109,CT Scanner,Radiology,16,4.9,0.31,8,5316.62,0,23434.2,Tuesday,March,False,insurance
2023-03-27,CT_0110,CT Scanner,Radiology,17,16.6,0.98,17,3798.46,0,43143.57,Monday,March,False,cash
2023-07-07,MRI_0111,MRI Scanner,Radiology,14,3.4,0.24,4,6904.06,0,7835.49,Friday,July,False,insurance
2023-10-18,MRI_0112,MRI Scanner,Radiology,13,3.4,0.26,1,1125.12,0,43862.83,Wednesday,October,False,cash
2023-02-05,XRAY_0113,X-Ray Machine,Radiology,8,6.4,0.8,14,1082.3,0,4033.48,Sunday,February,True,insurance
2023-04-01,XRAY_0114,X-Ray Machine,Radiology,12,10.1,0.84,25,7125.42,0,40088.91,Saturday,April,True,insurance
2023-10-13,XRAY_0115,X-Ray Machine,Radiology,14,11.6,0.83,20,5142.78,0,36472.78,Friday,October,False,insurance
2023-02-10,MAMMO_0116,Mammography Unit,Women's Health,9,4.1,0.46,29,7446.75,0,27738.03,Friday,February,False,insurance
2023-05-16,MAMMO_0117,Mammography Unit,Women's Health,8,3.3,0.41,25,6722.43,0,29105.73,Tuesday,May,False,insurance
2023-08-10,XRAY_0118,X-Ray Machine,Radiology,19,13.0,0.68,19,4856.51,0,19703.04,Thursday,August,False,insurance
2023-07-20,CT_0119,CT Scanner,Radiology,15,9.7,0.65,15,6801.88,0,5471.6,Thursday,July,False,insurance
2023-12-14,MRI_0120,MRI Scanner,Radiology,12,1.3,0.11,5,2986.16,0,41317.3,Thursday,December,False,insurance
2023-07-15,MAMMO_0121,Mammography Unit,Women's Health,15,7.6,0.51,22,1140.89,0,21786.21,Saturday,July,True,cash
2023-05-23,XRAY_0122,X-Ray Machine,Radiology,9,7.1,0.79,10,1228.51,0,7872.72,Tuesday,May,False,cash
2023-06-28,MRI_0123,MRI Scanner,Radiology,11,1.5,0.14,1,6744.38,0,19196.44,Wednesday,June,False,cash
2023-08-04,MAMMO_0124,Mammography Unit,Women's Health,10,4.1,0.41,14,2857.52,0,20747.15,Friday,August,False,insurance
2023-01-28,MAMMO_0125,Mammography Unit,Women's Health,15,14.8,0.99,29,6367.33,0,15617.2,Saturday,January,True,insurance
2023-01-26,XRAY_0126,X-Ray Machine,Radiology,12,4.3,0.36,23,2277.34,0,16394.72,Thursday,January,False,insurance
2023-05-18,XRAY_0127,X-Ray Machine,Radiology,8,3.5,0.44,14,6930.03,0,22495.88,Thursday,May,False,cash
2023-07-03,CT_0128,CT Scanner,Radiology,8,3.4,0.42,8,749.36,0,20320.01,Monday,July,False,insurance
2023-03-20,CT_0129,CT Scanner,Radiology,17,8.5,0.5,20,981.31,0,33272.02,Monday,March,False,insurance
2023-12-06,US_0130,Ultrasound,Radiology,10,9.9,0.99,34,5192.73,0,1754.04,Wednesday,December,False,insurance
2023-08-13,MAMMO_0131,Mammography Unit,Women's Health,8,3.1,0.39,24,7322.23,0,14517.29,Sunday,August,True,insurance
2023-06-28,MAMMO_0132,Mammography Unit,Women's Health,9,3.6,0.4,13,2774.74,0,3081.51,Wednesday,June,False,insurance
2023-01-11,US_0133,Ultrasound,Radiology,12,10.7,0.89,15,1450.3,0,31028.35,Wednesday,January,False,cash
2023-09-08,XRAY_0134,X-Ray Machine,Radiology,11,8.7,0.79,12,2405.86,0,11990.51,Friday,September,False,insurance
2023-04-04,CT_0135,CT Scanner,Radiology,8,7.2,0.9,21,6312.39,0,34606.32,Tuesday,April,False,cash
2023-10-29,CT_0136,CT Scanner,Radiology,20,9.6,0.48,20,6493.54,0,35476.49,Sunday,October,True,insurance
2023-06-10,XRAY_0137,X-Ray Machine,Radiology,8,3.4,0.42,13,1106.92,0,4399.16,Saturday,June,True,insurance
2023-05-05,XRAY_0138,X-Ray Machine,Radiology,8,6.2,0.78,23,2561.34,0,45741.88,Friday,May,False,insurance
2023-03-27,MRI_0139,MRI Scanner,Radiology,9,2.1,0.23,3,4496.08,0,13441.64,Monday,March,False,insurance
2023-10-21,US_0140,Ultrasound,Radiology,9,8.6,0.96,15,4840.5,0,24075.92,Saturday,October,True,insurance
2023-08-13,MRI_0141,MRI Scanner,Radiology,12,2.2,0.18,1,3561.4,0,7902.42,Sunday,August,True,insurance
2023-05-27,MRI_0142,MRI Scanner,Radiology,9,1.2,0.13,4,7143.6,0,7495.48,Saturday,May,True,insurance
2023-07-20,CT_0143,CT Scanner,Radiology,9,4.1,0.46,19,3329.6,0,37467.64,Thursday,July,False,insurance
2023-08-27,MAMMO_0144,Mammography Unit,Women's Health,15,6.7,0.45,16,5362.75,0,28747.1,Sunday,August,True,cash
2023-10-03,MRI_0145,MRI Scanner,Radiology,8,0.9,0.11,4,1225.43,0,21671.67,Tuesday,October,False,insurance
2023-02-14,CT_0146,CT Scanner,Radiology,19,11.0,0.58,17,6912.26,0,11235.17,Tuesday,February,False,insurance
2023-02-21,MAMMO_0147,Mammography Unit,Women's Health,16,8.0,0.5,11,1882.71,0,35812.19,Tuesday,February,False,cash
2023-04-14,US_0148,Ultrasound,Radiology,11,10.8,0.98,30,605.12,0,11367.35,Friday,April,False,insurance
2023-02-15,MRI_0149,MRI Scanner,Radiology,8,1.3,0.16,4,3306.69,0,4612.6,Wednesday,February,False,insurance
2023-09-14,XRAY_0150,X-Ray Machine,Radiology,19,8.6,0.45,21,5641.85,0,41218.38,Thursday,September,False,cash
2023-10-14,MAMMO_0151,Mammography Unit,Women's Health,18,3.9,0.22,28,4973.69,0,29692.35,Saturday,October,True,cash
2023-08-05,MRI_0152,MRI Scanner,Radiology,11,3.0,0.27,2,2855.49,0,37670.47,Saturday,August,True,cash
2023-03-14,MRI_0153,MRI Scanner,Radiology,12,3.2,0.27,3,2163.73,0,9132.27,Tuesday,March,False,cash
2023-08-20,MRI_0154,MRI Scanner,Radiology,13,1.1,0.08,3,6972.79,0,43768.97,Sunday,August,True,insurance
2023-03-31,US_0155,Ultrasound,Radiology,8,6.7,0.84,25,2909.39,0,1244.46,Friday,March,False,cash
2023-02-13,CT_0156,CT Scanner,Radiology,18,3.5,0.19,25,2882.2,0,49229.78,Monday,February,False,insurance
2023-05-21,MRI_0157,MRI Scanner,Radiology,9,3.4,0.38,4,1071.05,0,40306.59,Sunday,May,True,insurance
2023-11-08,XRAY_0158,X-Ray Machine,Radiology,16,9.5,0.59,13,2565.33,0,37236.87,Wednesday,November,False,insurance
2023-04-27,US_0159,Ultrasound,Radiology,12,8.9,0.74,23,1211.43,0,10154.61,Thursday,April,False,cash
2023-06-10,US_0160,Ultrasound,Radiology,9,7.2,0.8,24,6474.31,0,13068.98,Saturday,June,True,insurance
2023-06-27,XRAY_0161,X-Ray Machine,Radiology,12,9.7,0.81,24,5351.49,0,19799.77,Tuesday,June,False,insurance
2023-03-06,MRI_0162,MRI Scanner,Radiology,13,3.4,0.26,4,610.13,0,6323.63,Monday,March,False,insurance
2023-04-14,XRAY_0163,X-Ray Machine,Radiology,18,9.9,0.55,23,1094.86,0,8768.26,Friday,April,False,insurance
2023-05-31,CT_0164,CT Scanner,Radiology,10,6.4,0.64,25,2377.28,0,6864.53,Wednesday,May,False,insurance
2023-05-22,CT_0165,CT Scanner,Radiology,16,7.4,0.46,25,1896.82,0,49070.4,Monday,May,False,insurance
2023-07-15,MAMMO_0166,Mammography Unit,Women's Health,13,3.7,0.28,10,5570.66,0,30842.66,Saturday,July,True,insurance
2023-08-29,US_0167,Ultrasound,Radiology,9,6.6,0.73,26,2185.38,0,16255.56,Tuesday,August,False,insurance
2023-01-22,MAMMO_0168,Mammography Unit,Women's Health,13,9.8,0.75,16,4911.44,0,37950.83,Sunday,January,True,insurance
2023-04-30,CT_0169,CT Scanner,Radiology,15,8.2,0.55,19,1092.31,0,14030.22,Sunday,April,True,insurance
2023-12-20,MRI_0170,MRI Scanner,Radiology,13,3.1,0.24,4,1128.42,0,18255.87,Wednesday,December,False,insurance
2023-01-09,CT_0171,CT Scanner,Radiology,12,5.3,0.44,15,5553.96,0,40965.51,Monday,January,False,cash
2023-06-28,XRAY_0172,X-Ray Machine,Radiology,14,13.5,0.96,30,5969.82,0,42351.06,Wednesday,June,False,cash
2023-11-06,MRI_0173,MRI Scanner,Radiology,9,3.7,0.41,1,1655.49,0,10174.86,Monday,November,False,cash
2023-01-12,XRAY_0174,X-Ray Machine,Radiology,11,5.4,0.49,22,6186.01,0,31691.49,Thursday,January,False,insurance
2023-12-28,US_0175,Ultrasound,Radiology,8,6.4,0.8,19,1837.3,0,5341.59,Thursday,December,False,insurance
2023-11-22,CT_0176,CT Scanner,Radiology,16,8.8,0.55,27,4165.96,0,3835.75,Wednesday,November,False,insurance
2023-07-19,XRAY_0177,X-Ray Machine,Radiology,15,14.9,0.99,29,2251.87,0,1250.05,Wednesday,July,False,insurance
2023-05-05,MRI_0178,MRI Scanner,Radiology,11,0.9,0.08,5,1354.98,0,7773.44,Friday,May,False,insurance
2023-09-21,US_0179,Ultrasound,Radiology,8,6.4,0.8,39,3572.92,0,19110.3,Thursday,September,False,cash
2023-07-19,CT_0180,CT Scanner,Radiology,10,7.2,0.72,26,6384.24,0,44247.06,Wednesday,July,False,insurance
2023-03-14,XRAY_0181,X-Ray Machine,Radiology,8,5.1,0.64,27,6288.63,0,47813.97,Tuesday,March,False,insurance
2023-05-04,US_0182,Ultrasound,Radiology,10,9.2,0.92,31,1291.54,0,34280.84,Thursday,May,False,insurance
2023-04-28,CT_0183,CT Scanner,Radiology,18,9.7,0.54,9,7154.48,0,17463.03,Friday,April,False,cash
2023-12-08,CT_0184,CT Scanner,Radiology,10,4.8,0.48,26,6280.4,0,13539.86,Friday,December,False,insurance
2023-05-08,MAMMO_0185,Mammography Unit,Women's Health,13,12.6,0.97,13,6685.36,0,29696.45,Monday,May,False,cash
2023-11-09,MAMMO_0186,Mammography Unit,Women's Health,10,4.5,0.45,11,4134.32,0,14762.88,Thursday,November,False,insurance
2023-02-22,MRI_0187,MRI Scanner,Radiology,12,1.2,0.1,4,1067.21,0,37212.31,Wednesday,February,False,insurance
2023-09-29,XRAY_0188,X-Ray Machine,Radiology,18,11.4,0.63,28,5021.7,0,5415.91,Friday,September,False,insurance
2023-05-30,MRI_0189,MRI Scanner,Radiology,13,1.4,0.11,5,4840.15,0,16970.81,Tuesday,May,False,insurance
2023-03-15,MAMMO_0190,Mammography Unit,Women's Health,18,10.3,0.57,22,1645.06,0,5612.27,Wednesday,March,False,insurance
2023-06-07,CT_0191,CT Scanner,Radiology,11,6.8,0.62,22,5237.27,0,29079.41,Wednesday,June,False,cash
2023-11-06,MAMMO_0192,Mammography Unit,Women's Health,8,5.8,0.72,12,819.01,0,45039.44,Monday,November,False,insurance
2023-03-20,MAMMO_0193,Mammography Unit,Women's Health,13,12.5,0.96,28,6311.58,0,45400.55,Monday,March,False,insurance
2023-06-09,MRI_0194,MRI Scanner,Radiology,8,1.4,0.17,1,811.07,0,24215.0,Friday,June,False,insurance
2023-01-27,US_0195,Ultrasound,Radiology,10,6.8,0.68,22,6076.73,0,20387.49,Friday,January,False,insurance
2023-11-26,CT_0196,CT Scanner,Radiology,13,11.0,0.85,27,1283.43,0,6223.95,Sunday,November,True,cash
2023-03-20,XRAY_0197,X-Ray Machine,Radiology,20,19.0,0.95,25,5152.25,0,42449.26,Monday,March,False,insurance
2023-12-14,US_0198,Ultrasound,Radiology,12,8.0,0.67,18,1504.35,0,20160.93,Thursday,December,False,insurance
2023-11-10,CT_0199,CT Scanner,Radiology,16,15.4,0.96,30,5136.64,0,49691.65,Friday,November,False,insurance
2023-07-16,XRAY_0200,X-Ray Machine,Radiology,19,8.0,0.42,24,2252.96,0,33197.43,Sunday,July,True,cash
2023-03-02,MAMMO_0201,Mammography Unit,Women's Health,9,8.3,0.92,10,6166.82,0,18635.99,Thursday,March,False,insurance
2023-05-04,CT_0202,CT Scanner,Radiology,9,7.2,0.8,26,3535.73,0,14599.32,Thursday,May,False,insurance
2023-02-28,US_0203,Ultrasound,Radiology,11,7.9,0.72,28,1492.99,0,20396.39,Tuesday,February,False,insurance
2023-05-25,MRI_0204,MRI Scanner,Radiology,15,1.5,0.1,5,3715.22,0,14002.59,Thursday,May,False,cash
2023-07-26,CT_0205,CT Scanner,Radiology,18,8.4,0.47,24,4874.3,0,30071.84,Wednesday,July,False,insurance
2023-12-05,US_0206,Ultrasound,Radiology,8,7.9,0.99,32,1438.1,0,48161.5,Tuesday,December,False,insurance
2023-02-10,XRAY_0207,X-Ray Machine,Radiology,18,9.3,0.52,23,3349.05,0,38294.51,Friday,February,False,cash
2023-10-02,XRAY_0208,X-Ray Machine,Radiology,11,4.8,0.44,25,4776.09,0,38826.05,Monday,October,False,insurance
2023-11-08,MAMMO_0209,Mammography Unit,Women's Health,13,11.8,0.91,20,7360.06,0,48511.22,Wednesday,November,False,insurance
2023-04-06,XRAY_0210,X-Ray Machine,Radiology,17,7.0,0.41,30,7054.33,0,32586.1,Thursday,April,False,cash
2023-02-13,CT_0211,CT Scanner,Radiology,9,7.5,0.83,7,5369.38,0,28161.93,Monday,February,False,insurance
2023-01-25,MRI_0212,MRI Scanner,Radiology,10,3.3,0.33,3,7276.87,0,29015.47,Wednesday,January,False,insurance
2023-05-17,US_0213,Ultrasound,Radiology,10,7.1,0.71,19,4536.81,0,27675.87,Wednesday,May,False,cash
2023-05-16,MRI_0214,MRI Scanner,Radiology,10,1.8,0.18,5,6924.43,0,39325.97,Tuesday,May,False,insurance
2023-03-13,MRI_0215,MRI Scanner,Radiology,14,0.6,0.04,4,6229.81,0,31597.27,Monday,March,False,insurance
